input_power_dut,output_power_dut,gain,sg_power,dc_power,efficiency,V_carrier_CH1,V_carrier_CH2,I_carrier_CH1,I_carrier_CH2,frequency_ghz
-11.149999999999999,-16.294999999999998,-5.145,-10.0,2.04707498,0.001146479384300063,2.8172,27.9922,0.0003,0.0731,0.8
-10.149999999999999,-16.775000000000002,-6.6250000000000036,-9.0,2.0529698,0.0010235697422566793,2.8172,27.9924,0.0004,0.0733,0.8
-9.149999999999999,-16.194999999999997,-7.044999999999998,-8.0,2.0557543600000003,0.0011682311440583295,2.8172,27.9922,0.0004,0.0734,0.8
-8.149999999999999,-14.595000000000002,-6.445000000000004,-7.0,2.0585682800000003,0.0016862995474101906,2.8172,27.9924,0.0004,0.0735,0.8
-7.149999999999999,-13.694999999999997,-6.544999999999998,-6.0,2.06109316,0.002072060243219409,2.8172,27.9925,0.0003,0.0736,0.8
-6.149999999999999,-13.385000000000002,-7.235000000000003,-5.0,2.0610711100000003,0.002225394570681264,2.8173,27.9922,0.0003,0.0736,0.8
-5.149999999999999,-12.724999999999998,-7.574999999999999,-4.0,2.06137484,0.0025902580317424353,2.8171,27.9925,0.0004,0.0736,0.8
-4.149999999999999,-11.525000000000002,-7.3750000000000036,-3.0,2.06137484,0.003414625104944308,2.8171,27.9925,0.0004,0.0736,0.8
-3.1499999999999986,-10.485000000000003,-7.335000000000004,-2.0,2.0585682800000003,0.004344449201036746,2.8172,27.9924,0.0004,0.0735,0.8
-2.1499999999999986,-9.645,-7.495000000000001,-1.0,2.05577638,0.0052786653265895645,2.8172,27.9925,0.0004,0.0734,0.8
-1.1499999999999986,-8.544999999999998,-7.395,0.0,2.05017052,0.006818832393135664,2.8171,27.9924,0.0004,0.0732,0.8
-0.14999999999999858,-7.495000000000001,-7.345000000000002,1.0,2.04177284,0.00871951998760904,2.8172,27.9924,0.0004,0.0729,0.8
0.8500000000000014,-6.395,-7.245000000000001,2.0,2.0361743199999998,0.011263802946142615,2.8171,27.9924,0.0004,0.0727,0.8
1.8500000000000014,-5.514999999999997,-7.364999999999998,3.0,2.0277911200000003,0.013850861388365866,2.8172,27.9926,0.0004,0.0724,0.8
2.8500000000000014,-4.684999999999999,-7.535,4.0,2.01658684,0.016860990018365437,2.8171,27.9925,0.0004,0.072,0.8
3.8500000000000014,-2.5849999999999973,-6.434999999999999,5.0,1.98579509,0.027769340611157645,2.8171,27.9925,0.0004,0.0709,0.8
4.850000000000001,-1.5549999999999962,-6.404999999999998,6.0,1.9662003799999999,0.035552670209634374,2.8172,27.9925,0.0004,0.0702,0.8
5.850000000000001,-0.7750000000000021,-6.6250000000000036,7.0,1.94913009,0.04291994670072585,2.8171,27.9926,0.0003,0.0696,0.8
6.850000000000001,0.18499999999999872,-6.665000000000003,8.0,1.92393675,0.05423869224020091,2.8171,27.9926,0.0003,0.0687,0.8
7.850000000000001,1.3550000000000004,-6.495000000000001,9.0,1.90180405,0.07183469168079698,2.8172,27.9923,0.0004,0.0679,0.8
8.850000000000001,2.254999999999999,-6.595000000000002,10.0,1.87634266,0.08957521254186782,2.8172,27.9925,0.0003,0.067,0.8
-11.745000000000001,-17.685000000000002,-5.940000000000001,-10.0,2.09216667,0.0008145236915161907,2.8173,27.9925,0.0004,0.0747,0.9
-10.745000000000001,-15.265,-4.52,-9.0,2.0921666300000004,0.0014220135319149374,2.8172,27.9925,0.0004,0.0747,0.9
-9.745000000000001,-15.545000000000002,-5.800000000000001,-8.0,2.0921741000000003,0.0013332211006435758,2.8172,27.9926,0.0004,0.0747,0.9
-8.745000000000001,-15.155000000000001,-6.41,-7.0,2.09215916,0.0014584961256681067,2.8172,27.9924,0.0004,0.0747,0.9
-7.745000000000001,-13.735,-5.989999999999998,-6.0,2.09188491,0.0020228431673930685,2.8172,27.9925,0.0003,0.0747,0.9
-6.745000000000001,-13.815000000000005,-7.070000000000004,-5.0,2.09217414,0.0019856475773181114,2.8173,27.9926,0.0004,0.0747,0.9
-5.745000000000001,-12.285000000000004,-6.540000000000003,-4.0,2.0921741000000003,0.0028242437642965797,2.8172,27.9926,0.0004,0.0747,0.9
-4.745000000000001,-11.315000000000005,-6.570000000000004,-3.0,2.08908572,0.003536256343725499,2.8174,27.9925,0.0003,0.0746,0.9
-3.745000000000001,-10.885000000000005,-7.140000000000004,-2.0,2.08349463,0.003914782286397283,2.8173,27.9926,0.0003,0.0744,0.9
-2.745000000000001,-9.765,-7.02,-1.0,2.08096967,0.005072642424509384,2.8173,27.9925,0.0004,0.0743,0.9
-1.745000000000001,-8.275000000000006,-6.530000000000005,0.0,2.0781704199999997,0.007158447448595194,2.8173,27.9925,0.0004,0.0742,0.9
-0.745000000000001,-7.045000000000002,-6.300000000000001,1.0,2.0725793599999998,0.009527716610134197,2.8174,27.9926,0.0004,0.074,0.9
0.254999999999999,-6.475000000000001,-6.73,2.0,2.06696604,0.010893480459623893,2.8173,27.9924,0.0004,0.0738,0.9
1.254999999999999,-5.605000000000004,-6.860000000000003,3.0,2.0613896,0.013345655789620572,2.8172,27.9927,0.0004,0.0736,0.9
2.254999999999999,-4.945,-7.199999999999999,4.0,2.0526954400000004,0.015601827880657386,2.8173,27.9925,0.0003,0.0733,0.9
3.254999999999999,-3.5350000000000037,-6.790000000000003,5.0,2.0415057,0.021704480888262934,2.8172,27.9926,0.0003,0.0729,0.9
4.254999999999999,-2.815000000000005,-7.070000000000004,6.0,2.03058321,0.025756047011841258,2.8174,27.9925,0.0004,0.0725,0.9
5.254999999999999,-1.7950000000000017,-7.050000000000001,7.0,2.0165941199999997,0.032800578506301525,2.8173,27.9926,0.0004,0.072,0.9
6.254999999999999,-0.8049999999999997,-7.059999999999999,8.0,1.9970064299999999,0.04160260609185494,2.8173,27.9927,0.0004,0.0713,0.9
7.254999999999999,0.30499999999999616,-6.950000000000003,9.0,1.9774045199999997,0.05425059146903987,2.8174,27.9926,0.0004,0.0706,0.9
8.254999999999999,1.3749999999999964,-6.880000000000003,10.0,1.9521972399999998,0.0703033962391813,2.8174,27.9924,0.0004,0.0697,0.9
-11.625,-16.35,-4.725000000000001,-10.0,2.1005719199999997,0.0011032208075829558,2.8173,27.9926,0.0004,0.075,1.0
-10.625,-15.880000000000003,-5.255000000000003,-9.0,2.10055696,0.0012293216703033825,2.8174,27.9924,0.0004,0.075,1.0
-9.625,-15.43,-5.805,-8.0,2.1005719199999997,0.0013635229256547332,2.8173,27.9926,0.0004,0.075,1.0
-8.625,-13.969999999999999,-5.344999999999999,-7.0,2.1005719199999997,0.0019083694007834909,2.8173,27.9926,0.0004,0.075,1.0
-7.625,-13.93,-6.305,-6.0,2.10057942,0.0019260204486695525,2.8173,27.9927,0.0004,0.075,1.0
-6.625,-12.719999999999999,-6.094999999999999,-5.0,2.0977726999999997,0.0025482472881688824,2.8174,27.9926,0.0004,0.0749,1.0
-5.625,-11.990000000000002,-6.365000000000002,-4.0,2.09775768,0.0030147040213730483,2.8173,27.9924,0.0004,0.0749,1.0
-4.625,-10.75,-6.125,-3.0,2.0977501899999997,0.0040109406051117786,2.8173,27.9923,0.0004,0.0749,1.0
-3.625,-9.420000000000002,-5.795000000000002,-2.0,2.09495844,0.005455374736645234,2.8173,27.9924,0.0004,0.0748,1.0
-2.625,-8.910000000000004,-6.285000000000004,-1.0,2.09216667,0.006143328246136404,2.8173,27.9925,0.0004,0.0747,1.0
-1.625,-8.32,-6.695,0.0,2.09215173,0.00703731226239848,2.8173,27.9923,0.0004,0.0747,1.0
-0.625,-7.450000000000003,-6.825000000000003,1.0,2.08377636,0.00863274461530405,2.8173,27.9926,0.0004,0.0744,1.0
0.375,-5.880000000000003,-6.255000000000003,2.0,2.08096224,0.012408971873677998,2.8173,27.9924,0.0004,0.0743,1.0
1.375,-5.079999999999998,-6.454999999999998,3.0,2.0753785799999998,0.014959003711642604,2.8173,27.9926,0.0004,0.0741,1.0
2.375,-4.230000000000004,-6.605000000000004,4.0,2.06976528,0.018242270975065134,2.8173,27.9924,0.0004,0.0739,1.0
3.375,-4.210000000000001,-7.585000000000001,5.0,2.06697342,0.018351227030954355,2.8173,27.9925,0.0004,0.0738,1.0
4.375,-3.200000000000003,-7.575000000000003,6.0,2.05856836,0.02325062901105883,2.8174,27.9924,0.0004,0.0735,1.0
5.375,-2.1099999999999994,-7.484999999999999,7.0,2.05017796,0.03000602312151811,2.8174,27.9925,0.0004,0.0732,1.0
6.375,-1.0300000000000011,-7.405000000000001,8.0,2.0389736000000003,0.03868907952602005,2.8172,27.9924,0.0004,0.0728,1.0
7.375,-0.25,-7.625,9.0,2.02497744,0.046620809577311816,2.8173,27.9924,0.0004,0.0723,1.0
8.375,0.7799999999999976,-7.595000000000002,10.0,2.0081820400000003,0.05959322947172871,2.8174,27.9924,0.0004,0.0717,1.0
-11.3,-19.115,-7.814999999999998,-10.0,2.10613284,0.0005821223046300942,2.8173,27.9921,0.0004,0.0752,1.1
-10.3,-17.745,-7.445,-9.0,2.10614036,0.0007980180037520076,2.8173,27.9922,0.0004,0.0752,1.1
-9.3,-16.315,-7.015000000000001,-8.0,2.10616292,0.0011091953428839837,2.8173,27.9925,0.0004,0.0752,1.1
-8.3,-15.135000000000002,-6.835000000000001,-7.0,2.10614788,0.0014554964105491892,2.8173,27.9923,0.0004,0.0752,1.1
-7.300000000000001,-14.224999999999998,-6.924999999999997,-6.0,2.10616292,0.0017947668421672317,2.8173,27.9925,0.0004,0.0752,1.1
-6.300000000000001,-13.815000000000001,-7.515000000000001,-5.0,2.10614792,0.0019724732878299506,2.8174,27.9923,0.0004,0.0752,1.1
-5.300000000000001,-13.855,-8.555,-4.0,2.10614788,0.0019543895811473828,2.8173,27.9923,0.0004,0.0752,1.1
-4.300000000000001,-12.114999999999998,-7.814999999999998,-3.0,2.1061554,0.0029174914239745203,2.8173,27.9924,0.0004,0.0752,1.1
-3.3000000000000007,-10.855,-7.555,-2.0,2.1061554,0.0038995059568470267,2.8173,27.9924,0.0004,0.0752,1.1
-2.3000000000000007,-10.264999999999997,-7.964999999999996,-1.0,2.10614792,0.004466950403163459,2.8174,27.9923,0.0004,0.0752,1.1
-1.3000000000000007,-8.465,-7.164999999999999,0.0,2.1033561599999997,0.006769976829060859,2.8173,27.9924,0.0004,0.0751,1.1
-0.3000000000000007,-8.065000000000001,-7.765000000000001,1.0,2.1033562,0.007423131840292439,2.8174,27.9924,0.0004,0.0751,1.1
0.6999999999999993,-6.664999999999996,-7.364999999999995,2.0,2.1033561599999997,0.010246774581277578,2.8173,27.9924,0.0004,0.0751,1.1
1.6999999999999993,-6.054999999999996,-7.7549999999999955,3.0,2.1033561599999997,0.011791992173560193,2.8173,27.9924,0.0004,0.0751,1.1
2.6999999999999993,-5.3749999999999964,-8.074999999999996,4.0,2.10054192,0.0138092040490825,2.8173,27.9922,0.0004,0.075,1.1
3.6999999999999993,-3.794999999999998,-7.494999999999997,5.0,2.10055692,0.01986852127126919,2.8173,27.9924,0.0004,0.075,1.1
4.699999999999999,-2.8850000000000016,-7.585000000000001,6.0,2.09775768,0.024532662276499282,2.8173,27.9924,0.0004,0.0749,1.1
5.699999999999999,-2.035,-7.734999999999999,7.0,2.09497348,0.029875932554594496,2.8175,27.9926,0.0004,0.0748,1.1
6.699999999999999,-0.8850000000000016,-7.585000000000001,8.0,2.09496596,0.038933462533815424,2.8174,27.9925,0.0004,0.0748,1.1
7.699999999999999,-0.11499999999999844,-7.814999999999998,9.0,2.09216667,0.04654828887646096,2.8173,27.9925,0.0004,0.0747,1.1
8.7,1.0050000000000026,-7.694999999999997,10.0,2.09216667,0.060242601890528436,2.8173,27.9925,0.0004,0.0747,1.1
-10.93,-17.499999999999996,-6.569999999999997,-10.0,2.1117614199999997,0.0008420834821572425,2.8173,27.9925,0.0004,0.0754,1.2
-9.93,-17.899999999999995,-7.969999999999995,-9.0,2.10896974,0.0007690058641424287,2.8174,27.9926,0.0004,0.0753,1.2
-8.93,-16.45,-7.52,-8.0,2.11175392,0.0010723997176683624,2.8174,27.9924,0.0004,0.0754,1.2
-7.93,-15.080000000000002,-7.150000000000002,-7.0,2.11174634,0.0014701384959560795,2.8173,27.9923,0.0004,0.0754,1.2
-6.93,-14.55,-7.620000000000001,-6.0,2.11175392,0.001660950504841814,2.8174,27.9924,0.0004,0.0754,1.2
-5.93,-14.029999999999998,-8.099999999999998,-5.0,2.11176146,0.0018722124991717931,2.8174,27.9925,0.0004,0.0754,1.2
-4.93,-13.59,-8.66,-4.0,2.11176146,0.0020718348802437757,2.8174,27.9925,0.0004,0.0754,1.2
-3.9299999999999997,-12.120000000000001,-8.190000000000001,-3.0,2.111769,0.0029063879863981024,2.8174,27.9926,0.0004,0.0754,1.2
